"transaction_id","transaction_date","customer_name","phone_number","category","item_name","item_size","color","quantity","price_per_unit","discount_percentage","total_amount","payment_mode","branch_name","sales_rep_name"
"1","08-09-2024","Walk-in","NA","Men","Shirt","M","White","1","0","0","0.0","UPI","Mall Road","Rahul"
"2","2023-08-03","Walk-in","2832764835","Women","PALAZZO","Standard","White","1","599","0","599.0","UPI","Main Market","Sneha"
"3","08/13/2023","Walk-in","0122691669","Kids","Frock","XL","Grey","2","299","10","538.2","Cash","","Vikas"
"4","09/15/2024","Walk-in","2880957015","Kids","T-Shirt","Standard","Black","1","399","0","399.0","Cash","Main Market","AMIT"
"5","2024-02-13","ANJALI","7133150983","Men","jacket","Standard","Grey","1","999","20","799.2","Cash","Mall Road","Priya"
"6","25/02/24","Walk-in","1065133387","Women","Leggings","M","Pink","1","1599","0","1599.0","Cash","Mall Road","Priya"
"7","13/03/25","Sunita Sharma","8723430980","Men","Blazer","S","White","1","499","0","499.0","Cash","Main Market","Priya"
"8","09/25/2023","Anil Kumar","NA","Women","KURTI","M","Maroon","1","1199","0","1199.0","Card","Main Market","Rahul"
"9","2024-12-21","Walk-in","NoContact","Accessories","SOCKS","Free Size","Pink","1","149","0","149.0","Cash","Mall Road","Priya"
"10","05/04/23","Sunita Sharma","NoContact","Men","blazer","L","Green","2","999","10","1798.2","Cash","","AMIT"
"11","31-05-2025","Anil Kumar","NA","Accessories","Socks","Free Size","Blue","1","199","10","179.1","Card","Station Branch","Amit"
"12","27-01-2024","ANJALI","NA","Women","dupatta","M","Maroon","3","449","0","1347.0","UPI","Main Market","Rahul"
"13","09/25/2023","Sunita Sharma","NoContact","Women","Dress","L","Blue","2","599","0","0.0","Card","Station Branch","Priya"
"14","2023-03-13","Anil Kumar","1484656482","Accessories","Socks","One Size","Red","2","399","20","638.40000000000009","Cash","Station Branch","Vikas"
"15","23-06-2023","Sunita Sharma","9513433200","Accessories","Socks","One Size","Green","2","299.00","10","538.2","Card","","Sneha"
"16","13-09-2023","ANJALI","NoContact","Accessories","Cap","Free Size","Black","3","99","0","297.0","Card","Mall Road","rahul"
"17","2023-11-24","Walk-in","NoContact","Accessories","Wallet","One Size","Green","1","399.00","0","399.0","Cash","Mall Road","rahul"
"18","19/06/25","Sunita Sharma","6417080531","Accessories","Socks","Free Size","Maroon","1","0","0","0.0","Cash","Station Branch","Amit"
"19","2023-04-21","Walk-in","9663193149","Women","Saree","Standard","Navy","2","899","20","1438.4","Other","Mall Road","Priya"
"20","21/04/24","Sunita Sharma","3147379965","Kids","Tshirt","XL","Blue","2","499.00","20","798.40000000000009","UPI","Mall Road","Vikas"
"21","10/29/2023","Pooja Verma","4957885685","Kids","T-Shirt","S","White","2","499","0","998.0","Card","Main Market","Amit"
"22","10/29/2023","Pooja Verma","4957885685","Kids","T-Shirt","S","White","2","499","0","998.0","Card","Main Market","Amit"
"23","08-10-2023","Walk-in","2710947775","Women","Saree","L","Navy","1","1199","0","1199.0","Cash","Mall Road","AMIT"
"24","2025-03-05","Pooja Verma","7496499091","Men","Kurta","M","Black","3","1499","0","4497.0","Cash","Station Branch","Priya"
"25","2025-03-17","Ramesh Gupta","8324210249","Women","Kurti","XL","Navy","3","599","0","1797.0","Card","Mall Road","AMIT"
"26","2024-11-19","Walk-in","2787429671","Accessories","Belt","One Size","Yellow","3","99","10","267.3","Card","","AMIT"
"27","18/04/24","Walk-in","NA","Kids","Shirt","XL","Blue","2","399","0","798.0","Cash","Main Market","Vikas"
"28","11/26/2023","Ramesh Gupta","3605766270","Kids","Shorts","L","Green","1","499.00","0","499.0","Card","Main Market","AMIT"
"29","2024-01-25","ANJALI","0913431611","Men","blazer","Standard","Black","1","399","10","359.1","UPI","Mall Road","House Account"
"30","05/27/2023","ANJALI","7407482175","Accessories","Wallet","One Size","Navy","1","149","0","149.0","UPI","Main Market","rahul"
"31","03-12-2024","ANJALI","4395339421","Accessories","Belt","One Size","Navy","1","0","0","0.0","Cash","Main Market","Vikas"
"32","2023-10-30","Walk-in","1236851604","Kids","shirt","M","Black","1","399","10","359.1","Other","Mall Road","Priya"
"33","2023-02-08","ANJALI","NoContact","Women","Dress","XXL","Pink","2","1199","0","2398.0","Card","","rahul"
"34","2024-07-11","Walk-in","3171390053","Women","DRESS","XL","Navy","1","599","0","599.0","UPI","Main Market","Sneha"
"35","29-09-2023","Walk-in","8117758917","Kids","Frock","L","Black","1","399","0","399.0","UPI","Mall Road","AMIT"
"36","29-09-2023","Walk-in","8117758917","Kids","Frock","L","Black","1","399","0","399.0","UPI","Mall Road","AMIT"
"37","2025-02-01","Walk-in","9885165604","Kids","Shirt","XL","Blue","1","399","10","0.0","UPI","Main Market","House Account"
"38","26-12-2023","Walk-in","9612018366","Kids","T-Shirt","XXL","White","1","199","15","169.15","UPI","Main Market","Rahul"
"39","2023-10-18","ANJALI","4036900343","Women","Saree","S","Green","1","1599","0","1599.0","Card","Main Market","Amit"
"40","19/02/24","Sunita Sharma","NoContact","Accessories","Socks","One Size","Blue","3","0","0","0.0","UPI","Mall Road","House Account"
"41","2023-04-27","Walk-in","NA","Men","TROUSERS","M","Maroon","1","999","0","999.0","Other","Main Market","Sneha"
"42","2025-06-22","Anil Kumar","5271774490","Men","T-Shirt","Standard","Black","1","999","10","899.1","UPI","Main Market","Priya"
"43","2023-03-28","Walk-in","NoContact","Accessories","Cap","One Size","Navy","1","399.00","15","339.15","UPI","Main Market","House Account"
"44","18-03-2025","Walk-in","8059296222","Accessories","Socks","Free Size","Yellow","1","199","0","199.0","Card","Mall Road","Sneha"
"45","16/10/23","Walk-in","2392407581","Accessories","Socks","Free Size","White","2","299","10","538.2","Card","Station Branch","Amit"
"46","2025-05-09","Walk-in","NoContact","Accessories","Belt","One Size","Yellow","1","299","0","299.0","Cash","","AMIT"
"47","02/18/2023","Pooja Verma","9711798089","Accessories","Socks","Free Size","Red","1","399","0","399.0","UPI","Station Branch","rahul"
"48","02/10/2025","Sunita Sharma","0541566765","Men","Blazer","S","Green","1","499","0","0.0","Cash","","rahul"
"49","02-04-2024","Anil Kumar","6401658202","Men","trousers","XXL","Green","2","599","0","1198.0","Other","Mall Road","House Account"
"50","01/27/2023","ANJALI","8144739473","Accessories","Socks","Free Size","Grey","1","99","0","99.0","Card","Main Market","House Account"
"51","2024-01-05","Anil Kumar","8291146786","Kids","T-Shirt","L","Black","1","299","0","299.0","Card","Mall Road","House Account"
"52","2024-06-15","Walk-in","8424981829","Women","dupatta","M","Maroon","1","1999","15","1699.1499999999999","UPI","Main Market","Rahul"
"53","02/12/24","Sunita Sharma","0276773592","Men","Shirt","M","Navy","2","799","0","1598.0","Cash","Mall Road","Priya"
"54","06/05/2025","Anil Kumar","5327877470","Kids","Frock","S","Green","3","0","0","0.0","UPI","Mall Road","Rahul"
"55","2023-02-22","Walk-in","NA","Men","Jeans","Standard","Grey","2","599.00","0","1198.0","UPI","Mall Road","Priya"
"56","2023-06-02","Walk-in","NoContact","Women","Kurti","L","Yellow","1","599","10","539.1","UPI","","Vikas"
"57","2023-09-29","Ramesh Gupta","9728962309","Kids","Shirt","XL","Red","2","199","0","398.0","UPI","Mall Road","AMIT"
"58","2025-03-01","ANJALI","NA","Men","blazer","XXL","White","1","999","0","0.0","UPI","Mall Road","Sneha"
"59","03/02/2025","Sunita Sharma","NoContact","Accessories","Scarf","Free Size","Pink","1","199","0","199.0","Other","Mall Road","AMIT"
"60","2024-02-28","ANJALI","NoContact","Women","Saree","Standard","Green","1","0","0","0.0","Cash","Mall Road","AMIT"
"61","06/22/2025","Walk-in","6724004991","Accessories","Wallet","One Size","Green","3","399","10","1077.3","Cash","Station Branch","AMIT"
"62","2023-06-29","Pooja Verma","8516122753","Kids","FROCK","L","Black","1","0","0","0.0","Card","Mall Road","Rahul"
"63","2023-10-30","Ramesh Gupta","NA","Kids","Shorts","S","Blue","2","299","0","598.0","UPI","Mall Road","rahul"
"64","06/01/2024","Walk-in","NoContact","Accessories","Socks","Free Size","Navy","1","399.00","0","399.0","UPI","","AMIT"
"65","01/04/2023","Walk-in","NoContact","Men","Kurta","Standard","Grey","2","499","10","898.2","Cash","Mall Road","Rahul"
"66","05/02/2023","Walk-in","2300478686","Kids","shirt","M","Maroon","2","499","0","0.0","Cash","Main Market","rahul"
"67","11-08-2023","Walk-in","4395995342","Men","T-Shirt","S","Blue","1","999","0","999.0","UPI","","Amit"
"68","09/04/2023","Sunita Sharma","2708668826","Accessories","Socks","Free Size","Yellow","1","399","0","0.0","Card","Main Market","Sneha"
