transaction_id,transaction_date,customer_name,phone_number,category,item_name,item_size,color,quantity,price_per_unit,discount_percentage,total_amount,payment_mode,branch_name,sales_rep_name
1,08/09/2024,Walk-in,NA,Men,Shirt,M,White,1,0,0,0.0,UPI,Mall Road,Rahul
2,03/08/2023,Walk-in,2832764835,Women,Palazzo,Standard,White,1,599,0,599.0,UPI,Main Market,Sneha
3,13/08/2023,Walk-in,0122691669,Kids,Frock,XL,Grey,2,299,10,538.2,Cash,Unknown,Vikas
4,15/09/2024,Walk-in,2880957015,Kids,T-Shirt,Standard,Black,1,399,0,399.0,Cash,Main Market,Amit
5,13/02/2024,ANJALI,7133150983,Men,Jacket,Standard,Grey,1,999,20,799.2,Cash,Mall Road,Priya
6,25/02/2024,Walk-in,1065133387,Women,Leggings,M,Pink,1,1599,0,1599.0,Cash,Mall Road,Priya
7,13/03/2025,Sunita Sharma,8723430980,Men,Blazer,S,White,1,499,0,499.0,Cash,Main Market,Priya
8,25/09/2023,Anil Kumar,NA,Women,Kurti,M,Maroon,1,1199,0,1199.0,Card,Main Market,Rahul
9,21/12/2024,Walk-in,NA,Accessories,Socks,Free Size,Pink,1,149,0,149.0,Cash,Mall Road,Priya
10,05/04/2023,Sunita Sharma,NA,Men,Blazer,L,Green,2,999,10,1798.2,Cash,Unknown,Amit
11,31/05/2025,Anil Kumar,NA,Accessories,Socks,Free Size,Blue,1,199,10,179.1,Card,Station Branch,Amit
12,27/01/2024,ANJALI,NA,Women,Dupatta,M,Maroon,3,449,0,1347.0,UPI,Main Market,Rahul
13,25/09/2023,Sunita Sharma,NA,Women,Dress,L,Blue,2,599,0,1198.0,Card,Station Branch,Priya
14,13/03/2023,Anil Kumar,1484656482,Accessories,Socks,Free Size,Red,2,399,20,638.4,Cash,Station Branch,Vikas
15,23/06/2023,Sunita Sharma,9513433200,Accessories,Socks,Free Size,Green,2,299.00,10,538.2,Card,Unknown,Sneha
16,13/09/2023,ANJALI,NA,Accessories,Cap,Free Size,Black,3,99,0,297.0,Card,Mall Road,Rahul
17,24/11/2023,Walk-in,NA,Accessories,Wallet,Free Size,Green,1,399.00,0,399.0,Cash,Mall Road,Rahul
18,19/06/2025,Sunita Sharma,6417080531,Accessories,Socks,Free Size,Maroon,1,0,0,0.0,Cash,Station Branch,Amit
19,21/04/2023,Walk-in,9663193149,Women,Saree,Standard,Navy,2,899,20,1438.4,Other,Mall Road,Priya
20,21/04/2024,Sunita Sharma,3147379965,Kids,T-Shirt,XL,Blue,2,499.00,20,798.4,UPI,Mall Road,Vikas
21,29/10/2023,Pooja Verma,4957885685,Kids,T-Shirt,S,White,2,499,0,998.0,Card,Main Market,Amit
23,08/10/2023,Walk-in,2710947775,Women,Saree,L,Navy,1,1199,0,1199.0,Cash,Mall Road,Amit
24,05/03/2025,Pooja Verma,7496499091,Men,Kurta,M,Black,3,1499,0,4497.0,Cash,Station Branch,Priya
25,17/03/2025,Ramesh Gupta,8324210249,Women,Kurti,XL,Navy,3,599,0,1797.0,Card,Mall Road,Amit
26,19/11/2024,Walk-in,2787429671,Accessories,Belt,Free Size,Yellow,3,99,10,267.3,Card,Unknown,Amit
27,18/04/2024,Walk-in,NA,Kids,Shirt,XL,Blue,2,399,0,798.0,Cash,Main Market,Vikas
28,26/11/2023,Ramesh Gupta,3605766270,Kids,Shorts,L,Green,1,499.00,0,499.0,Card,Main Market,Amit
29,25/01/2024,ANJALI,0913431611,Men,Blazer,Standard,Black,1,399,10,359.1,UPI,Mall Road,House Account
30,27/05/2023,ANJALI,7407482175,Accessories,Wallet,Free Size,Navy,1,149,0,149.0,UPI,Main Market,Rahul
31,03/12/2024,ANJALI,4395339421,Accessories,Belt,Free Size,Navy,1,0,0,0.0,Cash,Main Market,Vikas
32,30/10/2023,Walk-in,1236851604,Kids,Shirt,M,Black,1,399,10,359.1,Other,Mall Road,Priya
33,08/02/2023,ANJALI,NA,Women,Dress,XXL,Pink,2,1199,0,2398.0,Card,Unknown,Rahul
34,11/07/2024,Walk-in,3171390053,Women,Dress,XL,Navy,1,599,0,599.0,UPI,Main Market,Sneha
35,29/09/2023,Walk-in,8117758917,Kids,Frock,L,Black,1,399,0,399.0,UPI,Mall Road,Amit
37,01/02/2025,Walk-in,9885165604,Kids,Shirt,XL,Blue,1,399,10,359.1,UPI,Main Market,House Account
38,26/12/2023,Walk-in,9612018366,Kids,T-Shirt,XXL,White,1,199,15,169.15,UPI,Main Market,Rahul
39,18/10/2023,ANJALI,4036900343,Women,Saree,S,Green,1,1599,0,1599.0,Card,Main Market,Amit
40,19/02/2024,Sunita Sharma,NA,Accessories,Socks,Free Size,Blue,3,0,0,0.0,UPI,Mall Road,House Account
41,27/04/2023,Walk-in,NA,Men,Trousers,M,Maroon,1,999,0,999.0,Other,Main Market,Sneha
42,22/06/2025,Anil Kumar,5271774490,Men,T-Shirt,Standard,Black,1,999,10,899.1,UPI,Main Market,Priya
43,28/03/2023,Walk-in,NA,Accessories,Cap,Free Size,Navy,1,399.00,15,339.15,UPI,Main Market,House Account
44,18/03/2025,Walk-in,8059296222,Accessories,Socks,Free Size,Yellow,1,199,0,199.0,Card,Mall Road,Sneha
45,16/10/2023,Walk-in,2392407581,Accessories,Socks,Free Size,White,2,299,10,538.2,Card,Station Branch,Amit
46,09/05/2025,Walk-in,NA,Accessories,Belt,Free Size,Yellow,1,299,0,299.0,Cash,Unknown,Amit
47,18/02/2023,Pooja Verma,9711798089,Accessories,Socks,Free Size,Red,1,399,0,399.0,UPI,Station Branch,Rahul
48,10/02/2025,Sunita Sharma,0541566765,Men,Blazer,S,Green,1,499,0,499.0,Cash,Unknown,Rahul
49,02/04/2024,Anil Kumar,6401658202,Men,Trousers,XXL,Green,2,599,0,1198.0,Other,Mall Road,House Account
50,27/01/2023,ANJALI,8144739473,Accessories,Socks,Free Size,Grey,1,99,0,99.0,Card,Main Market,House Account
51,05/01/2024,Anil Kumar,8291146786,Kids,T-Shirt,L,Black,1,299,0,299.0,Card,Mall Road,House Account
52,15/06/2024,Walk-in,8424981829,Women,Dupatta,M,Maroon,1,1999,15,1699.15,UPI,Main Market,Rahul
53,02/12/2024,Sunita Sharma,0276773592,Men,Shirt,M,Navy,2,799,0,1598.0,Cash,Mall Road,Priya
54,05/06/2025,Anil Kumar,5327877470,Kids,Frock,S,Green,3,0,0,0.0,UPI,Mall Road,Rahul
55,22/02/2023,Walk-in,NA,Men,Jeans,Standard,Grey,2,599.00,0,1198.0,UPI,Mall Road,Priya
56,02/06/2023,Walk-in,NA,Women,Kurti,L,Yellow,1,599,10,539.1,UPI,Unknown,Vikas
57,29/09/2023,Ramesh Gupta,9728962309,Kids,Shirt,XL,Red,2,199,0,398.0,UPI,Mall Road,Amit
58,01/03/2025,ANJALI,NA,Men,Blazer,XXL,White,1,999,0,999.0,UPI,Mall Road,Sneha
59,02/03/2025,Sunita Sharma,NA,Accessories,Scarf,Free Size,Pink,1,199,0,199.0,Other,Mall Road,Amit
60,28/02/2024,ANJALI,NA,Women,Saree,Standard,Green,1,0,0,0.0,Cash,Mall Road,Amit
61,22/06/2025,Walk-in,6724004991,Accessories,Wallet,Free Size,Green,3,399,10,1077.3,Cash,Station Branch,Amit
62,29/06/2023,Pooja Verma,8516122753,Kids,Frock,L,Black,1,0,0,0.0,Card,Mall Road,Rahul
63,30/10/2023,Ramesh Gupta,NA,Kids,Shorts,S,Blue,2,299,0,598.0,UPI,Mall Road,Rahul
64,01/06/2024,Walk-in,NA,Accessories,Socks,Free Size,Navy,1,399.00,0,399.0,UPI,Unknown,Amit
65,04/01/2023,Walk-in,NA,Men,Kurta,Standard,Grey,2,499,10,898.2,Cash,Mall Road,Rahul
66,02/05/2023,Walk-in,2300478686,Kids,Shirt,M,Maroon,2,499,0,998.0,Cash,Main Market,Rahul
67,11/08/2023,Walk-in,4395995342,Men,T-Shirt,S,Blue,1,999,0,999.0,UPI,Unknown,Amit
68,04/09/2023,Sunita Sharma,2708668826,Accessories,Socks,Free Size,Yellow,1,399,0,399.0,Card,Main Market,Sneha
69,07/12/2023,Walk-in,NA,Men,Jeans,XXL,Navy,2,399,0,798.0,Card,Main Market,Sneha
70,24/11/2023,Anil Kumar,0932048996,Accessories,Wallet,Free Size,Maroon,1,199,10,179.1,UPI,Mall Road,House Account
71,02/03/2023,Walk-in,1006231203,Kids,Shirt,XL,Black,1,399,0,399.0,Card,Unknown,Amit
72,08/04/2023,Walk-in,NA,Men,Trousers,XL,Pink,2,0,20,0.0,UPI,Main Market,Priya
73,07/07/2024,Pooja Verma,2185016315,Kids,T-Shirt,L,Red,2,299,10,538.2,Other,Mall Road,Amit
74,29/12/2024,Pooja Verma,1104754121,Accessories,Wallet,Free Size,Maroon,1,99,0,99.0,Cash,Main Market,House Account
75,23/05/2023,Sunita Sharma,2126464715,Men,Kurta,XL,Red,1,599,0,599.0,UPI,Mall Road,Priya
76,25/11/2023,Ramesh Gupta,2654793564,Women,Leggings,XL,Yellow,3,1199.00,10,3237.3,UPI,Main Market,Rahul
77,04/09/2024,Pooja Verma,6805891135,Accessories,Wallet,Free Size,Blue,1,299,10,269.1,Other,Mall Road,House Account
78,26/01/2023,Walk-in,1125457387,Accessories,Belt,Free Size,Green,2,299,0,598.0,Cash,Unknown,Priya
79,17/10/2024,Pooja Verma,NA,Men,Jacket,S,Black,1,1299,0,1299.0,Card,Main Market,Sneha
80,17/11/2023,Pooja Verma,9155792499,Women,Leggings,XXL,Blue,1,1999,0,1999.0,Cash,Mall Road,Amit
81,03/01/2024,ANJALI,NA,Accessories,Cap,Free Size,Maroon,1,399,0,399.0,Card,Mall Road,Amit
82,30/01/2025,Walk-in,9148580783,Accessories,Cap,Free Size,Blue,1,0,0,0.0,Cash,Mall Road,Vikas
